"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,10371,115998,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN PASQUAL ACADEMY","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL",NA,NA,NA,NA,FALSE,"9","12",70,70,100,70,100,62,62,100,62,100,TRUE,"Other"
"2018-2019",37,10371,120485,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","DAVILA DAY","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"P","8",32,8,25,8,25,32,8,25,8,25,TRUE,"Other"
"2018-2019",37,10371,120493,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","MONARCH","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL",NA,NA,NA,NA,FALSE,"K","12",241,241,100,241,100,235,235,100,235,100,TRUE,"Other"
"2018-2019",37,10371,128520,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COMMUNITY","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL",NA,NA,NA,NA,FALSE,"K","12",608,455,74.8,473,77.8,438,315,71.9,330,75.3,TRUE,"Other"
"2018-2019",37,10371,128538,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COURT","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL",NA,NA,NA,NA,FALSE,"K","12",359,359,100,359,100,323,323,100,323,100,TRUE,"Other"
"2018-2019",37,10371,136085,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOLARSHIP PREP - OCEANSIDE","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL",NA,NA,1883,"DIRECTLY FUNDED",TRUE,"K","8",316,134,42.4,176,55.7,310,134,43.2,176,56.8,TRUE,"Elementary School"
"2018-2019",37,10371,136192,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOOL OF UNIVERSAL LEARNING (SOUL)","County Office of Education (COE)","High Schools (Public)","TRADITIONAL",NA,NA,1872,"DIRECTLY FUNDED",TRUE,"7","12",95,17,17.9,17,17.9,95,17,17.9,17,17.9,TRUE,"High School"
"2018-2019",37,10371,137695,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","COMMUNITY MONTESSORI","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL",NA,NA,1947,"DIRECTLY FUNDED",TRUE,"K","8",705,92,13,110,15.6,684,86,12.6,102,14.9,TRUE,"Elementary School"
"2018-2019",37,10371,137752,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","DIMENSIONS COLLABORATIVE","County Office of Education (COE)","K-12 Schools (Public)","TRADITIONAL",NA,NA,1946,"DIRECTLY FUNDED",TRUE,"K","12",493,116,23.5,151,30.6,483,114,23.6,149,30.8,TRUE,"Elementary School"
"2018-2019",37,10371,138016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","PACIFIC SPRINGS CHARTER","County Office of Education (COE)","K-12 Schools (Public)","TRADITIONAL",NA,NA,1989,"DIRECTLY FUNDED",TRUE,"K","12",440,155,35.2,207,47,433,153,35.3,205,47.3,TRUE,"Elementary School"
"2018-2019",37,10371,138404,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","CLASSICAL ACADEMY VISTA","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL",NA,NA,2016,"DIRECTLY FUNDED",TRUE,"K","8",507,70,13.8,73,14.4,502,69,13.7,72,14.3,TRUE,"Elementary School"
"2018-2019",37,10371,138594,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL",NA,NA,2023,"DIRECTLY FUNDED",TRUE,"K","8",261,90,34.5,108,41.4,258,90,34.9,107,41.5,TRUE,"Elementary School"
"2018-2019",37,10371,1996545,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","NORTH COASTAL CONSORTIUM SCHOOLS","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"P","12",83,29,34.9,29,34.9,75,25,33.3,25,33.3,TRUE,"Other"
"2018-2019",37,10371,6069355,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY SPECIAL EDUCATION","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"K","12",36,6,16.7,6,16.7,25,5,20,5,20,TRUE,"Other"
"2018-2019",37,10371,6119119,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","LITERACY FIRST CHARTER","County Office of Education (COE)","K-12 Schools (Public)","TRADITIONAL",NA,NA,405,"DIRECTLY FUNDED",TRUE,"K","12",1678,664,39.6,664,39.6,1668,662,39.7,662,39.7,TRUE,"Elementary School"
"2018-2019",37,67967,6037519,"SAN DIEGO","ALPINE UNION ELEMENTARY","ALPINE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"1","5",158,61,38.6,72,45.6,158,61,38.6,72,45.6,TRUE,"Elementary School"
